d,Test Error,Train Error
2,0.107935,0.10139999999999998
4,0.12125,0.08979999999999996
6,0.127815,0.0738
8,0.13535,0.05720000000000001
16,0.139515,0.052000000000000005
32,0.13946,0.033400000000000006
